"UF";"CATEGORIA";"ABRANGENCIA";"TOTAL"
"AC";"Caçador de Subsistência";"";10
"AC";"Defesa Pessoal";"Estadual";5
"AL";"Defesa Pessoal";"Estadual";19
"AL";"Defesa Pessoal";"Nacional";3
"AL";"Defesa Pessoal";"Regional";1
"AL";"Funcional";"Estadual";110
"AM";"Defesa Pessoal";"Regional";1
"BA";"Defesa Pessoal";"Estadual";1
"BA";"Funcional";"Estadual";30
"CE";"Defesa Pessoal";"Estadual";2
"CE";"Funcional";"Estadual";50
"DF";"Defesa Pessoal";"Estadual";23
"DF";"Defesa Pessoal";"Nacional";29
"DF";"Funcional";"Nacional";4
"ES";"Defesa Pessoal";"Estadual";54
"ES";"Defesa Pessoal";"Nacional";3
"GO";"Defesa Pessoal";"Estadual";34
"GO";"Defesa Pessoal";"Nacional";3
"GO";"Funcional";"Estadual";34
"MA";"Defesa Pessoal";"Estadual";6
"MG";"Defesa Pessoal";"Estadual";1
"MG";"Defesa Pessoal";"Nacional";1
"MG";"Funcional";"Nacional";1
"MS";"Defesa Pessoal";"Estadual";9
"MS";"Defesa Pessoal";"Nacional";2
"MT";"Caçador de Subsistência";"";2
"MT";"Defesa Pessoal";"Estadual";8
"PA";"Caçador de Subsistência";"";7
"PA";"Defesa Pessoal";"Estadual";13
"PA";"Defesa Pessoal";"Nacional";1
"PA";"Funcional";"Estadual";40
"PA";"Funcional";"Nacional";1
"PB";"Defesa Pessoal";"Estadual";3
"PE";"Defesa Pessoal";"Estadual";7
"PE";"Defesa Pessoal";"Nacional";2
"PE";"Defesa Pessoal";"Regional";2
"PE";"Funcional";"Nacional";7
"PR";"Defesa Pessoal";"Estadual";14
"PR";"Defesa Pessoal";"Nacional";4
"PR";"Defesa Pessoal";"Regional";1
"PR";"Funcional";"Nacional";1
"RJ";"Defesa Pessoal";"Estadual";9
"RJ";"Defesa Pessoal";"Nacional";1
"RJ";"Funcional";"Estadual";2
"RJ";"Funcional";"Nacional";4
"RO";"Defesa Pessoal";"Estadual";2
"RO";"Funcional";"Nacional";2
"RR";"Defesa Pessoal";"Regional";1
"RS";"Defesa Pessoal";"Estadual";134
"RS";"Defesa Pessoal";"Nacional";16
"RS";"Defesa Pessoal";"Regional";12
"RS";"Funcional";"Estadual";22
"SC";"Caçador de Subsistência";"";2
"SC";"Defesa Pessoal";"Estadual";4
"SE";"Funcional";"Estadual";3
"SP";"Defesa Pessoal";"Estadual";17
"SP";"Funcional";"Estadual";315
"SP";"Funcional";"Regional";1
"SP";"Funcional";"";6
"TO";"Defesa Pessoal";"Estadual";3
