UF;CATEGORIA;ABRANGENCIA;TOTAL;mes
AC;Caçador de Subsistência;;5;ago
AC;Defesa Pessoal;Estadual;7;ago
AL;Defesa Pessoal;Estadual;32;ago
AL;Defesa Pessoal;Nacional;1;ago
AL;Defesa Pessoal;Regional;1;ago
AL;Funcional;Estadual;32;ago
AL;Funcional;Nacional;4;ago
AM;Defesa Pessoal;Estadual;1;ago
AP;Defesa Pessoal;Estadual;1;ago
BA;Defesa Pessoal;Estadual;16;ago
BA;Defesa Pessoal;Nacional;4;ago
BA;Defesa Pessoal;Regional;1;ago
BA;Funcional;Estadual;28;ago
CE;Defesa Pessoal;Estadual;3;ago
CE;Funcional;Estadual;22;ago
DF;Caçador de Subsistência;;1;ago
DF;Defesa Pessoal;Estadual;22;ago
DF;Defesa Pessoal;Nacional;56;ago
DF;Funcional;Estadual;3;ago
DF;Funcional;Nacional;41;ago
DF;Segurança Dignitario;Nacional;4;ago
ES;Caçador de Subsistência;;2;ago
ES;Defesa Pessoal;Estadual;59;ago
ES;Defesa Pessoal;Nacional;1;ago
ES;Funcional;Estadual;27;ago
GO;Defesa Pessoal;Estadual;25;ago
GO;Defesa Pessoal;Nacional;1;ago
GO;Funcional;Estadual;68;ago
GO;Funcional;Nacional;1;ago
MA;Defesa Pessoal;Estadual;2;ago
MA;Funcional;Estadual;11;ago
MG;Defesa Pessoal;Estadual;3;ago
MG;Funcional;Estadual;135;ago
MG;Funcional;Nacional;4;ago
MS;Defesa Pessoal;Estadual;32;ago
MT;Caçador de Subsistência;;3;ago
MT;Defesa Pessoal;Estadual;14;ago
MT;Defesa Pessoal;Nacional;2;ago
PA;Caçador de Subsistência;;35;ago
PA;Defesa Pessoal;Estadual;13;ago
PA;Defesa Pessoal;Nacional;1;ago
PA;Funcional;Estadual;151;ago
PB;Caçador de Subsistência;;1;ago
PB;Defesa Pessoal;Estadual;5;ago
PE;Defesa Pessoal;Estadual;3;ago
PE;Funcional;Estadual;14;ago
PE;Funcional;Nacional;11;ago
PI;Caçador de Subsistência;;1;ago
PI;Funcional;Nacional;1;ago
PR;Caçador de Subsistência;;1;ago
PR;Defesa Pessoal;Estadual;9;ago
PR;Defesa Pessoal;Nacional;2;ago
PR;Defesa Pessoal;Regional;1;ago
PR;Funcional;Estadual;65;ago
RJ;Defesa Pessoal;Estadual;41;ago
RJ;Defesa Pessoal;Nacional;3;ago
RJ;Segurança Dignitario;Nacional;12;ago
RN;Funcional;Estadual;112;ago
RO;Caçador de Subsistência;;3;ago
RO;Defesa Pessoal;Estadual;5;ago
RR;Defesa Pessoal;Estadual;1;ago
RR;Funcional;Estadual;37;ago
RS;Defesa Pessoal;Estadual;91;ago
RS;Defesa Pessoal;Nacional;6;ago
RS;Defesa Pessoal;Regional;7;ago
RS;Funcional;Estadual;67;ago
RS;Funcional;Nacional;8;ago
SC;Defesa Pessoal;Estadual;18;ago
SE;Caçador de Subsistência;;2;ago
SE;Defesa Pessoal;Estadual;2;ago
SP;Caçador de Subsistência;;5;ago
SP;Defesa Pessoal;Estadual;36;ago
SP;Funcional;Estadual;490;ago
SP;Funcional;Nacional;13;ago
SP;Funcional;;88;ago
TO;Funcional;Estadual;8;ago
