"UF";"CATEGORIA";"ABRANGENCIA";TOTAL
"AC";"Caçador de Subsistência";;4
"AC";"Defesa Pessoal";"Estadual";12
"AC";"Defesa Pessoal";"Nacional";1
"AC";"Defesa Pessoal";"Regional";1
"AL";"Defesa Pessoal";"Estadual";8
"AL";"Defesa Pessoal";"Nacional";2
"AM";"Defesa Pessoal";"Estadual";1
"AM";"Funcional";"Estadual";8
"AP";"Funcional";"Estadual";1
"BA";"Defesa Pessoal";"Estadual";6
"BA";"Defesa Pessoal";"Nacional";1
"BA";"Funcional";"Estadual";6
"CE";"Defesa Pessoal";"Estadual";7
"CE";"Funcional";"Estadual";7
"DF";"Defesa Pessoal";"Estadual";38
"DF";"Defesa Pessoal";"Nacional";29
"DF";"Segurança Dignitario";"Nacional";4
"ES";"Defesa Pessoal";"Estadual";41
"ES";"Defesa Pessoal";"Nacional";2
"ES";"Funcional";"Estadual";32
"GO";"Defesa Pessoal";"Estadual";14
"GO";"Funcional";"Estadual";7
"MA";"Defesa Pessoal";"Estadual";2
"MG";"Defesa Pessoal";"Estadual";2
"MG";"Funcional";"Estadual";74
"MS";"Defesa Pessoal";"Estadual";8
"MT";"Defesa Pessoal";"Estadual";9
"MT";"Defesa Pessoal";"Nacional";2
"MT";"Funcional";"Estadual";1
"MT";"Funcional";"Nacional";1
"PA";"Caçador de Subsistência";;49
"PA";"Defesa Pessoal";"Estadual";7
"PA";"Funcional";"Estadual";2
"PB";"Funcional";"Estadual";64
"PE";"Defesa Pessoal";"Estadual";8
"PE";"Defesa Pessoal";"Nacional";2
"PE";"Funcional";"Estadual";30
"PE";"Funcional";"Nacional";2
"PI";"Caçador de Subsistência";;1
"PI";"Defesa Pessoal";"Estadual";3
"PR";"Defesa Pessoal";"Estadual";13
"PR";"Defesa Pessoal";"Nacional";3
"PR";"Funcional";"Estadual";22
"PR";"Funcional";;2
"RJ";"Defesa Pessoal";"Estadual";26
"RJ";"Defesa Pessoal";"Nacional";1
"RJ";"Funcional";"Nacional";44
"RN";"Defesa Pessoal";"Estadual";1
"RO";"Defesa Pessoal";"Estadual";2
"RR";"Defesa Pessoal";"Estadual";1
"RR";"Funcional";"Estadual";38
"RS";"Defesa Pessoal";"Estadual";86
"RS";"Defesa Pessoal";"Nacional";4
"RS";"Defesa Pessoal";"Regional";4
"RS";"Funcional";"Estadual";4
"RS";"Funcional";"Nacional";4
"SC";"Defesa Pessoal";"Estadual";16
"SC";"Funcional";"Estadual";5
"SE";"Defesa Pessoal";"Estadual";4
"SE";"Defesa Pessoal";"Nacional";1
"SE";"Funcional";"Estadual";14
"SP";"Defesa Pessoal";"Estadual";34
"SP";"Funcional";"Estadual";303
"TO";"Defesa Pessoal";"Estadual";1
"TO";"Funcional";"Estadual";13
