UF;CATEGORIA;TIPO_RELATORIO;TOTAL
AC;Caçador de Subsistência;REGISTROS NOVOS;9
AC;Caçador de Subsistência;RENOVAÇÕES;3
AC;Cidadão;REGISTROS NOVOS;79
AC;Cidadão;RENOVAÇÕES;3
AC;Cidadão;TRANSFERENCIAS;5
AC;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;5
AL;Cidadão;REGISTROS NOVOS;62
AL;Cidadão;RENOVAÇÕES;15
AL;Cidadão;TRANSFERENCIAS;7
AL;Empresa com Segurança Orgânica;REGISTROS NOVOS;1
AL;Órgão público sem taxa;REGISTROS NOVOS;26
AL;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;31
AL;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;4
AL;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;2
AM;Caçador de Subsistência;REGISTROS NOVOS;1
AM;Cidadão;REGISTROS NOVOS;62
AM;Cidadão;RENOVAÇÕES;2
AM;Empresa de Segurança Privada;TRANSFERENCIAS;12
AM;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;11
AM;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;2
AP;Cidadão;REGISTROS NOVOS;23
AP;Cidadão;RENOVAÇÕES;2
AP;Cidadão;TRANSFERENCIAS;4
AP;Empresa de Segurança Privada;REGISTROS NOVOS;10
AP;Empresa de Segurança Privada;TRANSFERENCIAS;5
AP;Órgão público sem taxa;TRANSFERENCIAS;8
AP;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;3
AP;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;1
BA;Cidadão;REGISTROS NOVOS;343
BA;Cidadão;RENOVAÇÕES;22
BA;Cidadão;TRANSFERENCIAS;29
BA;Empresa com Segurança Orgânica;REGISTROS NOVOS;10
BA;Empresa de Segurança Privada;TRANSFERENCIAS;254
BA;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;48
BA;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;11
BA;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;11
CE;Cidadão;REGISTROS NOVOS;30
CE;Cidadão;RENOVAÇÕES;1
CE;Cidadão;TRANSFERENCIAS;10
CE;Empresa de Segurança Privada;TRANSFERENCIAS;10
CE;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;19
CE;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;2
CE;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;7
DF;Cidadão;REGISTROS NOVOS;180
DF;Cidadão;RENOVAÇÕES;36
DF;Cidadão;TRANSFERENCIAS;10
DF;Empresa de Segurança Privada;REGISTROS NOVOS;29
DF;Empresa de Segurança Privada;RENOVAÇÕES;7
DF;Empresa de Segurança Privada;TRANSFERENCIAS;7
DF;Órgão público sem taxa;REGISTROS NOVOS;5097
DF;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;33
DF;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;16
DF;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;4
ES;Cidadão;REGISTROS NOVOS;709
ES;Cidadão;RENOVAÇÕES;64
ES;Cidadão;TRANSFERENCIAS;41
ES;Empresa de Segurança Privada;REGISTROS NOVOS;4
