"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"AC";"Caçador de Subsistência";"REGISTROS NOVOS";4
"AC";"Caçador de Subsistência";"RENOVAÇÕES";3
"AC";"Cidadão";"REGISTROS NOVOS";94
"AC";"Cidadão";"RENOVAÇÕES";6
"AC";"Cidadão";"TRANSFERENCIAS";5
"AC";"Empresa de Segurança Privada";"REGISTROS NOVOS";2
"AC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";4
"AC";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"AC";"Órgão público sem taxa";"TRANSFERENCIAS";1
"AL";"Cidadão";"REGISTROS NOVOS";41
"AL";"Cidadão";"RENOVAÇÕES";11
"AL";"Cidadão";"TRANSFERENCIAS";19
"AL";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";1
"AL";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";32
"AL";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";4
"AL";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";5
"AL";"Órgão público sem taxa";"TRANSFERENCIAS";3
"AM";"Cidadão";"REGISTROS NOVOS";40
"AM";"Cidadão";"RENOVAÇÕES";2
"AM";"Empresa de Segurança Privada";"TRANSFERENCIAS";5
"AM";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";5
"AM";"Órgão público sem taxa";"TRANSFERENCIAS";18
"AP";"Cidadão";"REGISTROS NOVOS";36
"AP";"Cidadão";"RENOVAÇÕES";1
"AP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";16
"AP";"Órgão público sem taxa";"TRANSFERENCIAS";4
"BA";"Cidadão";"REGISTROS NOVOS";383
"BA";"Cidadão";"RENOVAÇÕES";31
"BA";"Cidadão";"TRANSFERENCIAS";16
"BA";"Empresa de Segurança Privada";"REGISTROS NOVOS";7
"BA";"Empresa de Segurança Privada";"RENOVAÇÕES";6
"BA";"Empresa de Segurança Privada";"TRANSFERENCIAS";50
"BA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";55
"BA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
"BA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";5
"BA";"Órgão público sem taxa";"TRANSFERENCIAS";1
"CE";"Cidadão";"REGISTROS NOVOS";66
"CE";"Cidadão";"RENOVAÇÕES";24
"CE";"Cidadão";"TRANSFERENCIAS";1
"CE";"Empresa de Segurança Privada";"REGISTROS NOVOS";9
"CE";"Empresa de Segurança Privada";"TRANSFERENCIAS";20
"CE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";44
"CE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
"CE";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";8
"CE";"Órgão público sem taxa";"REGISTROS NOVOS";110
"CE";"Órgão público sem taxa";"TRANSFERENCIAS";30
"DF";"Caçador de Subsistência";"REGISTROS NOVOS";1
"DF";"Cidadão";"REGISTROS NOVOS";380
"DF";"Cidadão";"RENOVAÇÕES";72
"DF";"Cidadão";"TRANSFERENCIAS";42
"DF";"Empresa de Segurança Privada";"REGISTROS NOVOS";15
"DF";"Empresa de Segurança Privada";"TRANSFERENCIAS";3
"DF";"Revendedor";"REGISTROS NOVOS";2
"DF";"Revendedor";"TRANSFERENCIAS";3
"DF";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";34
"DF";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";18
"DF";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";4
"DF";"Órgão público com taxa";"REGISTROS NOVOS";1030
"DF";"Órgão público sem taxa";"REGISTROS NOVOS";2
"DF";"Órgão público sem taxa";"TRANSFERENCIAS";597
"ES";"Caçador de Subsistência";"REGISTROS NOVOS";1
"ES";"Caçador de Subsistência";"TRANSFERENCIAS";1
"ES";"Cidadão";"REGISTROS NOVOS";708
"ES";"Cidadão";"RENOVAÇÕES";37
"ES";"Cidadão";"TRANSFERENCIAS";29
"ES";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";8
"ES";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
